ID_RESERVA	Fecha de ingreso	Fecha salida	medio de pago	Estado de reserva	ID_cliente	ID_Finca
2427	2024-01-01	2024-01-06	efectivo	cancelado	1027	3
2428	2024-01-07	2024-01-14	PSE	finalizado	1111	4
2429	2024-01-13	2024-01-20	efectivo	finalizado	1062	2
2430	2024-01-19	2024-01-22	efectivo	finalizado	1058	3
2431	2024-01-25	2024-01-30	PSE	finalizado	1009	2
2432	2024-01-31	2024-02-06	tarjeta credito	cancelado	1181	1
2433	2024-02-06	2024-02-10	tarjeta credito	finalizado	1139	2
2434	2024-02-12	2024-02-16	efectivo	finalizado	1056	2
2435	2024-02-18	2024-02-25	efectivo	finalizado	1062	2
2436	2024-02-24	2024-02-25	PSE	finalizado	1182	4
2437	2024-03-01	2024-03-05	PSE	finalizado	1051	1
2438	2024-03-07	2024-03-15	efectivo	finalizado	1051	2
2439	2024-03-13	2024-03-17	efectivo	cancelado	1132	2
2440	2024-03-19	2024-03-21	PSE	finalizado	1152	3
2441	2024-03-25	2024-03-28	efectivo	finalizado	1047	4
2442	2024-03-31	2024-04-06	PSE	finalizado	1139	3
2443	2024-04-06	2024-04-12	tarjeta credito	finalizado	1098	3
2444	2024-04-12	2024-04-18	tarjeta credito	finalizado	1116	2
2445	2024-04-18	2024-04-26	tarjeta credito	finalizado	1094	3
2446	2024-04-24	2024-04-30	PSE	finalizado	1180	3
2447	2024-04-30	2024-05-05	PSE	finalizado	1107	3
2448	2024-05-06	2024-05-13	efectivo	finalizado	1137	1
2449	2024-05-12	2024-05-13	efectivo	finalizado	1193	4
2450	2024-05-18	2024-05-22	tarjeta credito	finalizado	1080	2
2451	2024-05-24	2024-05-26	PSE	finalizado	1128	4
2452	2024-05-30	2024-06-07	efectivo	finalizado	1114	3
2453	2024-06-05	2024-06-10	efectivo	finalizado	1068	2
2454	2024-06-11	2024-06-19	PSE	finalizado	1185	1
2455	2024-06-17	2024-06-18	PSE	finalizado	1187	4
2456	2024-06-23	2024-06-29	efectivo	finalizado	1153	2
2457	2024-06-29	2024-07-01	efectivo	finalizado	1128	3
2458	2024-07-05	2024-07-07	PSE	finalizado	1030	3
2459	2024-07-11	2024-07-18	efectivo	finalizado	1169	1
2460	2024-07-17	2024-07-20	tarjeta credito	finalizado	1142	3
2461	2024-07-23	2024-07-25	efectivo	finalizado	1028	4
2462	2024-07-29	2024-08-03	efectivo	finalizado	1056	3
2463	2024-08-04	2024-08-08	efectivo	finalizado	1060	1
2464	2024-08-10	2024-08-13	efectivo	finalizado	1177	1
2465	2024-08-16	2024-08-18	tarjeta credito	cancelado	1140	4
2466	2024-08-22	2024-08-28	PSE	cancelado	1089	1
2467	2024-08-28	2024-09-05	tarjeta credito	finalizado	1085	4
2468	2024-09-03	2024-09-10	PSE	finalizado	1008	3
2469	2024-09-09	2024-09-17	tarjeta credito	finalizado	1095	4
2470	2024-09-15	2024-09-17	efectivo	finalizado	1035	2
2471	2024-09-21	2024-09-25	tarjeta credito	finalizado	1026	4
2472	2024-09-27	2024-10-01	PSE	finalizado	1047	3
2473	2024-10-03	2024-10-04	PSE	finalizado	1062	1
2474	2024-10-09	2024-10-14	tarjeta credito	finalizado	1133	1
2475	2024-10-15	2024-10-17	tarjeta credito	finalizado	1185	2
2476	2024-10-21	2024-10-27	tarjeta credito	finalizado	1079	2
2477	2024-10-27	2024-11-04	PSE	finalizado	1114	4
2478	2024-11-02	2024-11-06	efectivo	finalizado	1052	1
2479	2024-11-08	2024-11-10	efectivo	finalizado	1107	1
2480	2024-11-14	2024-11-22	tarjeta credito	finalizado	1004	2
2481	2024-11-20	2024-11-27	efectivo	finalizado	1138	3
2482	2024-11-26	2024-11-30	tarjeta credito	finalizado	1080	3
2483	2024-12-02	2024-12-08	PSE	pagado	1141	4
2484	2024-12-08	2024-12-11	tarjeta credito	pagado	1061	4
2485	2024-12-14	2024-12-22	PSE	cancelado	1111	4
2486	2024-12-20	2024-12-25	tarjeta credito	pagado	1076	4
2487	2024-12-26	2025-01-02	tarjeta credito	pagado	1069	2
2488	2025-01-01	2025-01-05	tarjeta credito	pagado	1117	2
2489	2025-01-07	2025-01-11	PSE	pagado	1132	4
2490	2025-01-13	2025-01-17	efectivo	pagado	1163	4
2491	2025-01-19	2025-01-23	efectivo	pendiente pago	1190	3
2492	2025-01-25	2025-02-02	PSE	pendiente pago	1087	2
2493	2025-01-31	2025-02-04	efectivo	cancelado	1129	1
2494	2025-02-06	2025-02-09	tarjeta credito	pendiente pago	1004	4
2495	2025-02-12	2025-02-13	efectivo	pendiente pago	1059	3
2496	2025-02-18	2025-02-23	tarjeta credito	pendiente pago	1079	1
2497	2025-02-24	2025-03-04	efectivo	pendiente pago	1161	3
2498	2025-03-02	2025-03-10	PSE	pendiente pago	1068	4
2499	2025-03-08	2025-03-09	PSE	pendiente pago	1184	3
2500	2025-03-14	2025-03-20	PSE	pendiente pago	1193	2
